,address,listingby,price,beds,baths,sqft,building_type
156,"1825 Laguna St, San Francisco, CA 94115","COMPASS, Amanda M. Jones","$1,100,000",2 bds,1 ba,"1,630 sqft",- Condo for sale
157,"201 Sansome St UNIT 501, San Francisco, CA 94104","BERKSHIRE HATHAWAY-FRANCISCAN, Erik J. McIntosh","$699,000",1 bd,1 ba,658 sqft,- Condo for sale
158,"255 Waller St, San Francisco, CA 94102","COMPASS, James Testa","$1,295,000",3 bds,1 ba,"1,525 sqft",- Condo for sale
159,"8 Octavia St UNIT 408, San Francisco, CA 94102","COMPASS, Robert  Belli","$227,572",Studio,1 ba,385 sqft,- Condo for sale
160,"4399 24th St, San Francisco, CA 94114","KELLER WILLIAMS SAN FRANCISCO, Anthony L. Koutsos","$490,000",Studio,1 ba,334 sqft,- Condo for sale
161,"857 Fell St, San Francisco, CA 94117","INDIGO REAL ESTATE, Mollie W. Poe","$1,299,000",3 bds,2 ba,"1,751 sqft",- Condo for sale
162,"4353 17th St, San Francisco, CA 94114","REDFIN, Thomas A. Baumgartner","$899,000",1 bd,1 ba,685 sqft,- House for sale
163,"864 Union St, San Francisco, CA 94133","SEQUOIA REAL ESTATE, Melanie P. Leung","$1,450,000",3 bds,2 ba,"1,360 sqft",- Condo for sale
164,"276 Ripley St, San Francisco, CA 94110","COMPASS, Isabelle Grotte","$3,295,000",4 bds,4 ba,"2,458 sqft",- House for sale
165,"1254 Quesada Ave, San Francisco, CA 94124","VILLARIN HOMES REALTY, Romunda Craft","$799,000",4 bds,2 ba,"1,515 sqft",- House for sale
166,"3790 21st St, San Francisco, CA 94114","COMPASS, Erin Thompson","$7,900,000",5 bds,6 ba,"4,400 sqft",- Multi-family home for sale
167,"6524 Fulton St, San Francisco, CA 94121","INTERO REAL ESTATE SERVICES, Robert E. Miller","$1,598,000",5 bds,3 ba,"2,055 sqft",- House for sale
168,"60 Ora Way UNIT H102, San Francisco, CA 94131","VANGUARD PROPERTIES, Emery G. Bushong","$412,932",1 bd,1 ba,676 sqft,- Condo for sale
169,"525 Wildwood Way, San Francisco, CA 94112","COMPASS, George W. Langford","$1,278,000",2 bds,2 ba,"1,110 sqft",- House for sale
170,"675 Cole St APT 5, San Francisco, CA 94117","COMPASS, Emily Dunn","$749,000",1 bd,2 ba,778 sqft,- Condo for sale
171,"260 King St UNIT 401, San Francisco, CA 94107","BERRI REAL ESTATE, Sou Fan Wong Ho","$306,949",Studio,1 ba,703 sqft,- Condo for sale
172,"230 Rhine St, San Francisco, CA 94112",NaN,"$998,000",4 bds,3 ba,"1,541 sqft",- House for sale
173,"574 Natoma St APT 301, San Francisco, CA 94103","CORE7 REAL ESTATE, Shawn M. Case","$251,200",Studio,1 ba,329 sqft,- Condo for sale
174,"2400 Diamond St, San Francisco, CA 94131","COMPASS SF, Pete Brannigan","$3,495,000",3 bds,3 ba,-- sqft,- House for sale
175,"901 Post St #2, San Francisco, CA 94109","KING REALTY GROUP, Lance R. King","$995,000",3 bds,2 ba,"1,207 sqft",- Condo for sale
176,"1469 Palou Ave, San Francisco, CA 94124","STARNBERG REALTY INC., Sean Beattie","$998,888",4 bds,2 ba,"2,362 sqft",- House for sale
177,"20 Burnside Ave, San Francisco, CA 94131","PINNACLE PROPERTIES, Kenneth A. Hagan","$1,695,000",4 bds,2 ba,"1,924 sqft",- House for sale
178,"3255 17th St, San Francisco, CA 94110","BERKSHIRE HATHAWAY-FRANCISCAN, Jack P. Murray","$4,650,000",-- bds,-- ba,"9,500 sqft",- Multi-family home for sale
179,"63 San Jacinto Way, San Francisco, CA 94127",NaN,"$1,799,000",2 bds,1 ba,"1,348 sqft",- House for sale
180,"3132 Laguna St, San Francisco, CA 94123","COMPASS, David B. Bellings","$1,795,000",2 bds,1 ba,-- sqft,- House for sale
181,"1874 Quesada Ave, San Francisco, CA 94124","BETTER HOMES AND GARDENS REAL, Trent C. Zhu","$149,000","2,496 sqft lot",NaN,NaN,- Lot / Land for sale
182,"2110 Scott St, San Francisco, CA 94115","COLDWELL BANKER REALTY, Joel Goodrich","$8,750,000",6 bds,6 ba,"7,148 sqft",- House for sale
183,"847 San Jose Ave, San Francisco, CA 94110","VANGUARD PROPERTIES, Shelley D. Trew","$1,395,000",3 bds,3 ba,"2,124 sqft",- House for sale
