,address,listingby,price,beds,baths,sqft,building_type
293,"214 States St, San Francisco, CA 94114","LAUREL REALTY & INVESTMENT, Jeff J. Appenrodt","$1,495,000",3 bds,-- ba,"1,500 sqft",- New construction
294,"1290 23rd Ave, San Francisco, CA 94122",NaN,"$1,195,000",3 bds,2 ba,"1,200 sqft",- Condo for sale
295,"3053 California St #3053, San Francisco, CA 94115","COMPASS, Ana T. L. Dierkhising","$2,095,000",3 bds,4 ba,"2,186 sqft",- Condo for sale
296,"2555 Union St, San Francisco, CA 94123","W REAL ESTATE, Wendy W. Tam","$14,200,000",4 bds,4 ba,"6,024 sqft",- House for sale
297,"821 Taraval St APT C, San Francisco, CA 94116","CORCORAN GLOBAL LIVING, Tanya S. Dzhibrailova","$1,195,000",3 bds,3 ba,"1,535 sqft",- Condo for sale
298,"57 Woodward St #A, San Francisco, CA 94103","COMPASS, Duncan C. Wheeler","$719,000",2 bds,1 ba,892 sqft,- Condo for sale
299,"666 Post St APT 902, San Francisco, CA 94109","VANGUARD PROPERTIES, Christian Buckley","$659,000",1 bd,1 ba,775 sqft,- Condo for sale
300,"1087 De Haro St, San Francisco, CA 94107","COMPASS, Brian Anderson","$1,099,000",2 bds,2 ba,"1,088 sqft",- Condo for sale
301,"1282 Hayes St #101, San Francisco, CA 94117","VANGUARD PROPERTIES, Michael R. Keane-Stack","$799,000",1 bd,1 ba,-- sqft,- New construction
302,"9 Apollo St, San Francisco, CA 94124","INTERO REAL ESTATE SERVICES, Alex Y. Dabit","$798,000",3 bds,1 ba,987 sqft,- House for sale
303,"2780 Broadway St, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Steven M. Gothelf","$19,995,000",4 bds,6 ba,"6,000 sqft",- House for sale
304,"1787 Alabama St #1787, San Francisco, CA 94110",NaN,"$950,000",2 bds,1 ba,"1,200 sqft",- Condo for sale
305,"898 Francisco St, San Francisco, CA 94109","COMPASS, Mark A. Levinson","$9,950,000",6 bds,7 ba,"6,305 sqft",- House for sale
306,"2196 Jackson St, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Janet F. Schindler","$5,995,000",5 bds,5 ba,"5,025 sqft",- House for sale
307,"3200 Judah St #3202, San Francisco, CA 94122","EXP REALTY OF CALIFORNIA, INC, Tyson Li","$1,595,000",6 bds,1 ba,"2,250 sqft",- Multi-family home for sale
308,"22 Presidio Ave, San Francisco, CA 94115","COLDWELL BANKER REALTY, Joel Goodrich","$3,575,000",3 bds,3 ba,"2,380 sqft",- Condo for sale
309,"181 Fremont St UNIT 68B, San Francisco, CA 94105","Jay Paul Company, COMPASS, Carmen Legarda","$15,500,000",2 bds,3 ba,"3,256 sqft",- New construction
310,"1461 Kansas St, San Francisco, CA 94107","REDFIN, Miriam Westberg","$1,095,000",2 bds,1 ba,946 sqft,- House for sale
311,"601 Van Ness Ave APT 45, San Francisco, CA 94102","SOTHEBY'S INTERNATIONAL REALTY, David E. Werboff","$799,000",2 bds,2 ba,"1,093 sqft",- Condo for sale
312,"1510 Jackson St APT 2, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Jeremy Burnett","$768,000",2 bds,1 ba,-- sqft,- Condo for sale
313,"2000 Washington St #7, San Francisco, CA 94109","COMPASS, Malin B. Giddings","$25,000,000",4 bds,4 ba,-- sqft,- Condo for sale
314,"13 Abbey St, San Francisco, CA 94114","INTERO REAL ESTATE SERVICES, Steven Y. Fang","$1,495,000",2 bds,2 ba,-- sqft,- Multi-family home for sale
315,"2232 Bush St, San Francisco, CA 94115","COMPASS, Steven Mavromihalis","$6,200,000",4 bds,4 ba,"6,374 sqft",- House for sale
316,"2040 Franklin St APT 1209, San Francisco, CA 94109","COMPASS, Deborah L. Nguyen","$1,395,000",2 bds,2 ba,-- sqft,- Condo for sale
317,"51 Wool St, San Francisco, CA 94110","FUTURA REALTY INC., Jorge E. Carcamo","$1,133,000",1 bd,1 ba,"1,175 sqft",- House for sale
318,"940 Natoma St UNIT 5, San Francisco, CA 94103","CLARIN REALTY INC., Noreleen C. de Mesa","$799,000",1 bd,1 ba,965 sqft,- Condo for sale
319,"1370 Broadway St, San Francisco, CA 94109","COMPASS SF, Helena Zaludova","$1,235,000",3 bds,1 ba,"1,340 sqft",- Condo for sale
320,"425 1st St UNIT 905, San Francisco, CA 94105","REAL ESTATE ADVISOR GROUP, Tim M. Heffernan","$779,000",1 bd,1 ba,710 sqft,- Condo for sale
321,"619 Shotwell St APT 6, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Stefano Dezerega","$799,000",2 bds,1 ba,685 sqft,- Condo for sale
322,"620 Waller St, San Francisco, CA 94117","COMPASS SF, George L. Limperis","$2,395,000",4 bds,2 ba,"2,225 sqft",- Multi-family home for sale
323,"2016 Pacific Ave APT 401, San Francisco, CA 94109","BRAVA REAL ESTATE, Sherri Howe","$1,539,000",2 bds,3 ba,"1,154 sqft",- Condo for sale
324,"1310 Greenwich St APT 202, San Francisco, CA 94109","COMPASS, Kevin Wakelin","$1,195,000",2 bds,1 ba,-- sqft,- Condo for sale
325,"301 Mission St APT 22G, San Francisco, CA 94105","COLDWELL BANKER REALTY, Dona Crowder","$1,398,000",2 bds,2 ba,"1,268 sqft",- Condo for sale
326,"172 Langton St, San Francisco, CA 94103",NaN,"$699,000",1 bd,1 ba,616 sqft,- Condo for sale
327,"52 Nebraska St, San Francisco, CA 94110","COMPASS SF, Lyle Chip McAllister","$1,495,000",2 bds,1 ba,"1,025 sqft",- House for sale
328,"590 Chestnut St, San Francisco, CA 94133","COMPASS, Joshua A. Lawrence","$1,449,000",4 bds,2 ba,"1,335 sqft",- New construction
329,"83 Mcallister St APT 405, San Francisco, CA 94102","KELLER WILLIAMS SAN FRANCISCO, Michael  Minson","$385,000",Studio,1 ba,254 sqft,- Condo for sale
330,"139 Stillman St APT 4, San Francisco, CA 94107","ANDERSEN, JUNG & CO., Monica H. Chung","$705,000",1 bd,1 ba,715 sqft,- Condo for sale
331,"1163 Shotwell St #1165, San Francisco, CA 94110","POLARIS REALTY, Ron Abta","$4,195,000",5 bds,5 ba,"4,021 sqft",- House for sale
332,"1133 Church St, San Francisco, CA 94114","SOTHEBY'S INTERNATIONAL REALTY, Wendy M. Storch","$1,450,000",3 bds,1 ba,-- sqft,- Condo for sale
333,"348 Austin St, San Francisco, CA 94109","COLDWELL BANKER REALTY, Andrea Govoni","$1,398,000",3 bds,2 ba,"1,584 sqft",- Multi-family home for sale
334,"1367 41st Ave, San Francisco, CA 94122","COLDWELL BANKER REALTY, Florence H. Chang","$2,150,000",5 bds,4 ba,"2,461 sqft",- House for sale
335,"1080 Chestnut St, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Gregg Lynn","$19,000,000",4 bds,5 ba,"5,445 sqft",- Condo for sale
336,"45 Cleary Ct APT 4, San Francisco, CA 94109","COLDWELL BANKER REALTY, Luis P. Moran","$1,035,000",3 bds,2 ba,"1,395 sqft",- Condo for sale
337,"388 Townsend St APT 16, San Francisco, CA 94107","COMPASS, Dennis R. Otto","$825,000",1 bd,2 ba,936 sqft,- Condo for sale
338,"139 S Lake Merced Hls APT 3A, San Francisco, CA 94132","ALEX VARUM BROKER, Alexander S. Varum","$849,000",2 bds,2 ba,"1,297 sqft",- Condo for sale
339,"470 Beacon St, San Francisco, CA 94131","CORCORAN GLOBAL LIVING, Michael H. Salstein","$3,495,000",3 bds,4 ba,"3,965 sqft",- House for sale
340,"125 Precita Ave, San Francisco, CA 94110","COMPASS, Danielle H. Lazier","$995,000",3 bds,1 ba,"1,195 sqft",- Condo for sale
341,"301 Mission St APT 5C, San Francisco, CA 94105",NaN,"$880,000",1 bd,1 ba,833 sqft,- Condo for sale
342,"147 Caledonia St #149, San Francisco, CA 94103","COMPASS SF, Gary J. Snow","$825,000",4 bds,2 ba,"1,824 sqft",- Multi-family home for sale
343,"2245 Franklin St, San Francisco, CA 94109","COMPASS, Amanda M. Jones","$1,635,000",2 bds,2 ba,"1,243 sqft",- Condo for sale
344,"725 Pine St APT 307, San Francisco, CA 94108","SOTHEBY'S INTERNATIONAL REALTY, Roger S. Landry","$449,000",Studio,1 ba,328 sqft,- Condo for sale
345,"888 7th St UNIT 304, San Francisco, CA 94107","SEQUOIA REAL ESTATE, Stephanie O. Mates","$383,277",1 bd,1 ba,535 sqft,- Condo for sale
346,"430 7th Ave, San Francisco, CA 94118",NaN,"$2,695,000",4 bds,4 ba,"2,874 sqft",- House for sale
347,"343 Russia Ave #345, San Francisco, CA 94112","MAVEN COMMERCIAL, INC., Dominic Morbidelli","$950,000",5 bds,3 ba,"2,250 sqft",- Multi-family home for sale
348,"901 Bush St APT 207, San Francisco, CA 94109","COMPASS, Robert  Belli","$399,273",1 bd,1 ba,532 sqft,- Condo for sale
349,"1942 44th Ave, San Francisco, CA 94116",NaN,"$1,688,000",5 bds,3 ba,"1,631 sqft",- House for sale
350,"1383 37th Ave, San Francisco, CA 94122","CHOU EVERGREEN REALTY, INC., Anne Chou","$1,299,000",4 bds,2 ba,"2,250 sqft",- Multi-family home for sale
351,"3428 22nd St, San Francisco, CA 94110","COMPASS, Marcus L. Grogans","$1,650,000",3 bds,2 ba,-- sqft,- New construction
352,"1708 Lombard St #1710, San Francisco, CA 94123","COMPASS, Chris J. O'Connor","$1,900,000",4 bds,2 ba,"3,040 sqft",- Multi-family home for sale
353,"380 14th St APT 205, San Francisco, CA 94103","IMPACT, Jaymee Faith Sagisi","$365,000",1 bd,1 ba,455 sqft,- Condo for sale
354,"135 Alpha St, San Francisco, CA 94134",NaN,"$750,000",4 bds,2 ba,"1,110 sqft",- House for sale
355,"317 29th St APT 201, San Francisco, CA 94131","COMPASS, Robert  Belli","$429,405",1 bd,1 ba,536 sqft,- Condo for sale
356,"2135 California St #3, San Francisco, CA 94115","COMPASS SF, Helena Zaludova","$1,425,000",3 bds,2 ba,"1,177 sqft",- Condo for sale
357,"275 Shipley St, San Francisco, CA 94107","SOTHEBY'S INTERNATIONAL REALTY, Wendy M. Storch","$4,000,000",3 bds,4 ba,"2,915 sqft",- House for sale
358,"888 San Jose Ave, San Francisco, CA 94110","POLARIS REALTY, Ron Abta","$949,000",2 bds,2 ba,"1,040 sqft",- Condo for sale
359,"2501 Cabrillo St, San Francisco, CA 94121","JODI GROUP, David T. Chan","$988,000",2 bds,1 ba,"1,174 sqft",- Condo for sale
360,"2701 Van Ness Ave APT 503, San Francisco, CA 94109","VANGUARD PROPERTIES, Lisa Camozzi","$625,000",Studio,1 ba,551 sqft,- Condo for sale
361,"601 Van Ness Ave APT 108, San Francisco, CA 94102","COMPASS, Lotus C. Hsiao","$470,000",1 bd,-- ba,518 sqft,- Condo for sale
362,"1180 Eddy St UNIT B, San Francisco, CA 94109","VANGUARD PROPERTIES, Andrea F. Swetland","$849,999",2 bds,2 ba,816 sqft,- Condo for sale
363,"224 Mississippi St, San Francisco, CA 94107","URBAN GROUP REAL ESTATE, Louis Cornejo","$2,400,000",2 bds,2 ba,"3,400 sqft",- House for sale
364,"Plan D1 Plan, Lofton at Portola BMR",Tri Pointe Homes,"$532,720+",2 bds,3 ba,"1,393 sqft",- New construction
365,"640 Davis St UNIT 46, San Francisco, CA 94111","SOTHEBY'S INTERNATIONAL REALTY, Dean Badessa","$1,598,000",2 bds,2 ba,"1,471 sqft",- Condo for sale
366,"659 Page St, San Francisco, CA 94117","VANGUARD PROPERTIES, Jean-Paul Samaha","$1,995,000",2 bds,3 ba,"1,965 sqft",- New construction
367,"333 Beale St APT 8F, San Francisco, CA 94105","RED ROSE REAL ESTATE SERVICES, Ah Soon Mah","$1,230,000",1 bd,1 ba,920 sqft,- Condo for sale
368,"152 Lombard St APT 401, San Francisco, CA 94111","VANGUARD PROPERTIES, Derek M. Jackson","$999,995",2 bds,2 ba,"1,112 sqft",- Condo for sale
369,"2744 Baker St, San Francisco, CA 94123",NaN,"$8,995,000",4 bds,6 ba,-- sqft,- Multi-family home for sale
370,"355 Bryant St UNIT 102, San Francisco, CA 94107","SOTHEBY'S INTERNATIONAL REALTY, Lisa Miller","$2,195,000",2 bds,2 ba,"2,203 sqft",- Condo for sale
371,"1775 Pacific Ave #1777, San Francisco, CA 94109","COMPASS, Mirella M. Webb","$2,735,000",4 bds,4 ba,"2,762 sqft",- Multi-family home for sale
372,"1054 Divisadero St #1058, San Francisco, CA 94115","COMPASS COMMERCIAL, Morgan Thomas","$2,595,000",-- bds,-- ba,"3,875 sqft",- Multi-family home for sale
373,"2 Everson St, San Francisco, CA 94131","COMPASS, Steven Mavromihalis","$12,000,000",4 bds,6 ba,"6,230 sqft",- House for sale
374,"1880 Turk St, San Francisco, CA 94115","NORTH POINT REAL ESTATE, Oggi Kashi","$5,200,000",8 bds,9 ba,"7,500 sqft",- House for sale
375,"675 Tennessee St #A, San Francisco, CA 94107","CORCORAN GLOBAL LIVING, Marsha K. Williams","$998,000",1 bd,2 ba,"1,092 sqft",- Condo for sale
376,"202 Union St, San Francisco, CA 94133","KELLER WILLIAMS SAN FRANCISCO, Anthony L. Koutsos","$250,000","1,470 sqft lot",NaN,NaN,- Lot / Land for sale
377,"2227 Beach St, San Francisco, CA 94123","GM GREEN REAL ESTATE, INC., George M. Green","$1,997,000",3 bds,-- ba,"2,250 sqft",- Condo for sale
378,"65 Broad St, San Francisco, CA 94112","CORCORAN GLOBAL LIVING, Larry W. Stiffler","$1,495,000",5 bds,2 ba,"2,750 sqft",- Multi-family home for sale
379,"123 Bernard St, San Francisco, CA 94109",NaN,"$1,727,888",3 bds,2 ba,"2,100 sqft",- House for sale
380,"1387 19th Ave, San Francisco, CA 94122",NaN,"$1,499,000",4 bds,2 ba,"2,500 sqft",- Multi-family home for sale
381,"2721 Pine St, San Francisco, CA 94115","IAN BERKE REAL ESTATE, Ian Berke","$1,390,000",2 bds,2 ba,"1,390 sqft",- Condo for sale
382,"1230 Sacramento St, San Francisco, CA 94108","SOTHEBY'S INTERNATIONAL REALTY, Mary Lou Castellanos","$7,995,000",4 bds,3 ba,"4,822 sqft",- House for sale
383,"1550 20th Ave, San Francisco, CA 94122","REALTY WORLD BAY AREA R.E., Marlon Austria","$1,888,888",5 bds,4 ba,"2,950 sqft",- Multi-family home for sale
384,"701 Pennsylvania Ave APT 207, San Francisco, CA 94107","HARPER REAL ESTATE, Anthony R. Navarro","$850,000",1 bd,2 ba,897 sqft,- Condo for sale
385,"850 Powell St APT 401, San Francisco, CA 94108","COMPASS, Michelle N. Englert","$1,149,000",2 bds,6 ba,"1,456 sqft",- Condo for sale
386,"555 4th St UNIT 911, San Francisco, CA 94107","Webcor, COMPASS, Pam Godbold","$765,000",1 bd,1 ba,-- sqft,- Condo for sale
387,"75 Howard St #1701, San Francisco, CA 94105","Paramount Group, Inc. and SRE Group Ltd., POLARIS PACIFIC, Kristin  Evans","$8,950,000",3 bds,3 ba,"2,337 sqft",- New construction
388,"871 Foerster St, San Francisco, CA 94127",NaN,"$2,097,000",4 bds,4 ba,"2,996 sqft",- House for sale
389,"953 Union St, San Francisco, CA 94133","COMPASS, Ivan Leung","$1,750,000",3 bds,2 ba,"1,584 sqft",- Condo for sale
390,"3868 Jackson St #3870, San Francisco, CA 94118","COMPASS, Lisa M. Lyons","$5,750,000",6 bds,6 ba,"5,250 sqft",- Multi-family home for sale
391,"335 27th Ave, San Francisco, CA 94121","WEST COAST PROPERTY MGT. CO., George L. Johnson","$1,388,000",3 bds,3 ba,"1,994 sqft",- Multi-family home for sale
392,"2936 Scott St, San Francisco, CA 94123","COLDWELL BANKER REALTY, Joel Goodrich","$8,500,000",6 bds,5 ba,"5,780 sqft",- House for sale
393,"333 Bush St APT 4104, San Francisco, CA 94104","LEVEL 5 REAL ESTATE, Mary L. Fenton","$1,500,000",2 bds,2 ba,"1,382 sqft",- Condo for sale
394,"250 King St UNIT 628, San Francisco, CA 94107","COMPASS, Shaban A. Shakoori","$700,000",1 bd,1 ba,866 sqft,- Condo for sale
395,"476 Hickory St, San Francisco, CA 94102","COMPASS, David J. Zimmerman","$1,695,000",2 bds,2 ba,"1,400 sqft",- House for sale
396,"129 Ellert St, San Francisco, CA 94110","COMPASS, Frank A. Castaldini","$899,000",1 bd,1 ba,-- sqft,- Condo for sale
397,"488 Folsom St #5602, San Francisco, CA 94105","RELATED CA RES. SALES, INC., Derec Lacio","$14,900,000",3 bds,4 ba,"4,312 sqft",- New construction
398,"260 King St UNIT 729, San Francisco, CA 94107",NaN,"$660,000",Studio,1 ba,600 sqft,- Condo for sale
399,"528 Noe St, San Francisco, CA 94114","CORCORAN GLOBAL LIVING, David W. Gowan","$3,600,000",4 bds,5 ba,-- sqft,- House for sale
400,"1823 Turk St, San Francisco, CA 94115","REAL ESTATE ADVISOR GROUP, Tim M. Heffernan","$2,395,000",3 bds,3 ba,"1,925 sqft",- Condo for sale
401,"850 Minnesota St UNIT 256, San Francisco, CA 94107","HEATH REAL ESTATE, Tyler  Stewart","$899,000",1 bd,2 ba,835 sqft,- Condo for sale
402,"72 Bruce Ave, San Francisco, CA 94112","COMPASS, James S. Koh","$1,578,000",7 bds,4 ba,"2,416 sqft",- House for sale
403,"333 Diamond St, San Francisco, CA 94114","COMPASS SF, Silvia Zeng","$5,995,000",5 bds,8 ba,"5,190 sqft",- New construction
404,"1867 46th Ave, San Francisco, CA 94122","CHRIS ENOKAWA, BROKER, Chris H. Enokawa","$1,175,000",2 bds,1 ba,787 sqft,- House for sale
405,"298 Baden St, San Francisco, CA 94131","PACIFIC EDGE, Cynthia M. Pagan","$995,000",2 bds,1 ba,"1,375 sqft",- Condo for sale
406,"21 Roscoe St, San Francisco, CA 94110","W REAL ESTATE, Todd A. Parrish","$1,249,000",2 bds,2 ba,"1,191 sqft",- House for sale
407,"Plan D2 Plan, Lofton at Portola BMR",Tri Pointe Homes,"$532,720+",2 bds,3 ba,"1,393 sqft",- New construction
408,"1845 Pacheco St, San Francisco, CA 94116","BARBCO, Amy Yuen","$1,845,000",3 bds,2 ba,"1,951 sqft",- House for sale
409,"1760 Pacific Ave APT 2, San Francisco, CA 94109",NaN,"$1,950,000",2 bds,2 ba,"1,722 sqft",- Condo for sale
410,"1785 Alabama St #1785, San Francisco, CA 94110",NaN,"$1,150,000",3 bds,2 ba,"1,400 sqft",- Condo for sale
411,"2423 Buchanan St #B, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Roberto Corpuz","$899,000",1 bd,1 ba,"1,117 sqft",- Condo for sale
412,"1731 Larkin St APT 3, San Francisco, CA 94109",NaN,"$1,374,000",2 bds,2 ba,"1,084 sqft",- Condo for sale
413,"210 Monterey Blvd, San Francisco, CA 94131","COMPASS SF, Ruth Krishnan","$1,295,000",2 bds,1 ba,-- sqft,- House for sale
414,"555 Golden Gate Ave #8A, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$799,000",1 bd,1 ba,568 sqft,- New construction
415,"151 Alice B Toklas Pl UNIT 407, San Francisco, CA 94109","COMPASS, John M. Lee","$725,000",1 bd,1 ba,783 sqft,- Condo for sale
416,"169 Shakespeare St, San Francisco, CA 94112","BERKSHIRE HATHAWAY-FRANCISCAN, Andrew de Vries","$299,000","2,788 sqft lot",NaN,NaN,- Lot / Land for sale
417,"617 Minna St #619, San Francisco, CA 94103","BETTER HOMES AND GARDENS THRIV, Margaret Wong","$1,620,000",4 bds,4 ba,"3,158 sqft",- Multi-family home for sale
418,"849 Sanchez St, San Francisco, CA 94114","COMPASS SF, Joseph A. Marko","$4,695,000",3 bds,4 ba,"2,925 sqft",- House for sale
419,"400 Grove St UNIT 101, San Francisco, CA 94102","VANGUARD PROPERTIES, Andrea F. Swetland","$404,082",1 bd,1 ba,485 sqft,- Condo for sale
420,"1800 Bryant St SUITE 102, San Francisco, CA 94110","VANGUARD PROPERTIES, Catherine Watson","$749,000",1 bd,2 ba,747 sqft,- Condo for sale
421,"547 Missouri St, San Francisco, CA 94107","THE FRONT STEPS, Alexander T. Clark","$5,350,000",5 bds,6 ba,-- sqft,- House for sale
422,"3774 Mission St, San Francisco, CA 94110","VANGUARD PROPERTIES, Edward R. Deleski","$995,000",4 bds,-- ba,"2,372 sqft",- House for sale
423,"550 S Van Ness Ave APT 408, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Laura R. Kaufman","$699,000",1 bd,1 ba,796 sqft,- Condo for sale
424,"550 Davis St UNIT 27, San Francisco, CA 94111","SOTHEBY'S INTERNATIONAL REALTY, Annie M. Williams","$2,699,000",3 bds,3 ba,"2,020 sqft",- Townhouse for sale
425,"1001 Pine St UNIT 305, San Francisco, CA 94109","KELLER WILLIAMS SAN FRANCISCO, Michael  Minson","$829,000",2 bds,1 ba,840 sqft,- Condo for sale
426,"161 Clifford Ter, San Francisco, CA 94117","KINDRED SF HOMES, Shelly L. Sutherland","$3,200,000",4 bds,3 ba,"2,415 sqft",- Condo for sale
427,"20 Inca Ln APT 3, San Francisco, CA 94115","COLDWELL BANKER REALTY, Jana B. Farrell","$710,000",3 bds,2 ba,"1,050 sqft",- Condo for sale
428,"405 Beacon St, San Francisco, CA 94131",NaN,"$1,595,000",3 bds,2 ba,"1,309 sqft",- House for sale
429,"56 Cielito Dr, San Francisco, CA 94134","GREEN BANKER, Stanley Lo","$699,000",3 bds,1 ba,990 sqft,- House for sale
430,"1465 York St, San Francisco, CA 94110",NaN,"$1,599,999",5 bds,2 ba,"1,599 sqft",- House for sale
431,"1550 Hampshire St #1552, San Francisco, CA 94110","MATTEI PROPERTIES LTD, R. Robert Mattei","$1,949,000",4 bds,3 ba,"2,575 sqft",- Multi-family home for sale
432,"735 Geary St APT 404, San Francisco, CA 94109","COMPASS SF, Subhi Barakat","$699,000",1 bd,1 ba,836 sqft,- Condo for sale
433,"2177 3rd St #505, San Francisco, CA 94107","Woods Bagot, POLARIS PACIFIC, Garrett R. Frakes","$985,000",1 bd,1 ba,719 sqft,- New construction
434,"485 Potrero Ave UNIT C, San Francisco, CA 94110","COMPASS, Kristen Stuecher","$1,100,000",3 bds,1 ba,"1,102 sqft",- Condo for sale
435,"403 Main St APT 514N, San Francisco, CA 94105","KW PENINSULA ESTATES, Michelle Ye","$649,000",1 bd,1 ba,536 sqft,- Condo for sale
436,"2229 Beach St, San Francisco, CA 94123","GM GREEN REAL ESTATE, INC., George M. Green","$1,998,000",3 bds,-- ba,"2,250 sqft",- Condo for sale
437,"226 27th St APT 4, San Francisco, CA 94131","VANGUARD PROPERTIES, Franck Costa","$1,150,000",3 bds,2 ba,"1,204 sqft",- Condo for sale
438,"1267 Chestnut St APT 4, San Francisco, CA 94109","COMPASS, Erin Thompson","$1,375,000",2 bds,2 ba,-- sqft,- Condo for sale
439,"1405 Greenwich St APT 5, San Francisco, CA 94109",NaN,"$599,900",1 bd,-- ba,998 sqft,- Foreclosure
440,"875 Vermont St APT 204, San Francisco, CA 94107","VANGUARD PROPERTIES, Kevin K. Ho","$699,000",1 bd,1 ba,-- sqft,- Condo for sale
441,"542 Rhode Island St, San Francisco, CA 94107","REDFIN, Joanna A. Rose","$2,398,000",3 bds,2 ba,-- sqft,- House for sale
442,"647 Hyde St, San Francisco, CA 94109","KELLER WILLIAMS SAN FRANCISCO, Tim A. Brown","$3,198,000",3 bds,4 ba,"3,944 sqft",- House for sale
443,"749 Guerrero St, San Francisco, CA 94110","COLDWELL BANKER REALTY, Elizabeth A. Kraus","$1,750,000",3 bds,2 ba,"1,575 sqft",- House for sale
444,"226 27th St APT 10, San Francisco, CA 94131",NaN,"$649,999",1 bd,1 ba,1 sqft,- Condo for sale
445,"631 Ofarrell St APT 1206, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Lauren O'Brien","$479,000",Studio,1 ba,520 sqft,- Condo for sale
446,"875 N Point St, San Francisco, CA 94109","BERKSHIRE HATHAWAY-FRANCISCAN, Edward F. Milestone","$2,995,000",3 bds,1 ba,-- sqft,- House for sale
447,"725 Pine St APT 202, San Francisco, CA 94108","AVENUE 8 INC., Cynthia Kellogg","$485,000",Studio,1 ba,313 sqft,- Condo for sale
448,"2120 Greenwich St, San Francisco, CA 94123","KINOKO, Marcell P. Neri","$2,345,000",3 bds,1 ba,"3,037 sqft",- Multi-family home for sale
449,"701 Hampshire St #6, San Francisco, CA 94110","COMPASS, Mark A. Colwell","$479,000",Studio,1 ba,-- sqft,- Condo for sale
450,"220 Beacon St, San Francisco, CA 94131","COMPASS SF, Pete Brannigan","$3,995,000",3 bds,4 ba,"3,408 sqft",- House for sale
451,"42 Cameo Way, San Francisco, CA 94131","ALEX VARUM BROKER, Alexander S. Varum","$2,295,000",4 bds,3 ba,"2,518 sqft",- House for sale
452,"2217 Pacific Ave APT 3, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Grant Edward Beggs","$810,000",1 bd,1 ba,612 sqft,- Condo for sale
453,"280 Spear Street #12D Plan, MIRA",Tishman Speyer,"$1,495,000+",2 bds,2 ba,"1,097 sqft",- New construction
454,"1258 Shafter Ave, San Francisco, CA 94124",NaN,"$1,060,000",3 bds,2 ba,995 sqft,- House for sale
455,"4119-4121 Irving St, San Francisco, CA 94122",NaN,"$1,398,888",-- bds,-- ba,"2,647 sqft",- Multi-family home for sale
456,"101 Crescent Way APT 2310, San Francisco, CA 94134",NaN,"$799,000",2 bds,2 ba,984 sqft,- Condo for sale
457,"583 Corbett Ave, San Francisco, CA 94114","COMPASS, Shane R. Ray","$3,495,000",5 bds,6 ba,"4,370 sqft",- House for sale
458,"325 China Basin St UNIT 410, San Francisco, CA 94158","COMPASS SF, Alicia Tam","$1,799,000",2 bds,2 ba,"1,392 sqft",- Condo for sale
459,"329 Bay St APT 307, San Francisco, CA 94133",NaN,"$1,290,000",2 bds,2 ba,"1,225 sqft",- Condo for sale
460,"855 Folsom St APT 316, San Francisco, CA 94107","GROUP MB, Michael S. Broermann","$445,815",1 bd,1 ba,642 sqft,- Condo for sale
461,"334 Alemany Blvd APT 3, San Francisco, CA 94110","HERMAN, IRENE C., Kelson Herman","$503,000",1 bd,1 ba,530 sqft,- Condo for sale
462,"815 Tennessee St UNIT 113, San Francisco, CA 94107","BLUE PROPERTY GROUP, Ron Gene Bennett","$849,000",1 bd,1 ba,682 sqft,- New construction
463,"475 Hampshire St APT 6, San Francisco, CA 94110","THE FRONT STEPS, Alexander T. Clark","$1,495,000",2 bds,3 ba,"1,953 sqft",- Condo for sale
464,"459 & 461 Potrero Ave, San Francisco, CA 94110",NaN,"$1,850,000",5 bds,4 ba,"2,592 sqft",- House for sale
465,"1538-1540 Palou Ave, San Francisco, CA 94124",NaN,"$888,000",-- bds,-- ba,"1,550 sqft",- Multi-family home for sale
466,"349 S Van Ness Ave APT 1, San Francisco, CA 94103","VANGUARD PROPERTIES, Michael A. Gallin","$775,000",2 bds,1 ba,765 sqft,- Condo for sale
467,"11 Perego Ter APT 3, San Francisco, CA 94131",NaN,"$1,499,000",3 bds,2 ba,"1,470 sqft",- Condo for sale
468,"1496 Silver Ave, San Francisco, CA 94134","GLOBAL REALTY, Lawrence Sam Chong","$1,450,000",3 bds,2 ba,"2,720 sqft",- House for sale
469,"85 Duboce Ave APT 201, San Francisco, CA 94103","COMPASS, Priya Agrawal","$687,000",1 bd,1 ba,667 sqft,- Condo for sale
470,"901 Bayshore Blvd #411, San Francisco, CA 94124",CORCORAN GLOBAL LIVING,"$456,000",1 bd,1 ba,-- sqft,- Foreclosure
471,"601 Van Ness Ave APT 309, San Francisco, CA 94102","BERRI REAL ESTATE, Max Strang","$649,000",1 bd,1 ba,694 sqft,- Condo for sale
472,"1805 Pine St APT 34, San Francisco, CA 94109","HOME QUEST REALTY, Robert  Belli","$356,509",Studio,-- ba,479 sqft,- Condo for sale
